OID;LATITUDE;LONGITUDE;YEAR;EQ_PRIMARY
5;-37.8;177.2;1950;5.8
14;23.5;103.1;1950;5.8
8;-13.5;-72;1950;6
10;7.79;-72.61;1950;6.1
11;9.71;-69.819;1950;6.4
9;-6;113;1950;6.5
12;-1.5;-78.2;1950;6.8
20;16.5;-100.4;1950;6.8
23;-14.25;-75.75;1950;7
1;21.7;100.1;1950;7
19;-10;159.5;1950;7.3
17;14.31;-91.917;1950;7.5
25;16.48;-98.22;1950;7.5
16;-3.8;128.3;1950;7.6
24;-19.5;-176;1950;7.7
15;11;-85;1950;7.7
21;-18.25;167.5;1950;7.8
7;-15;-69.5;1950;7.9
3;46;144;1950;7.9
22;-23.5;-67.5;1950;8
18;-6.5;129.5;1950;8.1
13;28.5;96.5;1950;8.6
33;13;-87.5;1951;5.5
32;13;-87.5;1951;6
27;-3.252;142.238;1951;6.1
31;16.1;-96.8;1951;6.2
42;26.7;100;1951;6.3
29;13;-87.8;1951;6.5
35;40.8;33.4;1951;6.7
37;19.7;-156;1951;6.9
38;23.8;121.7;1951;7.3
40;22.9;121.5;1951;7.5
39;31.1;91.4;1951;7.5
28;9.5;127.3;1951;7.8
41;-34;57;1951;7.9
30;-15;-69.5;1951;7.9
58;36.5;35.5;1952;5
57;39;112.7;1952;5.5
60;22.9;99.7;1952;5.8
55;35.333;-118.917;1952;5.8
43;39.9;41.7;1952;6
51;22.7;99.8;1952;6.5
52;-18.5;169.25;1952;6.8
56;28.3;102.2;1952;6.8
46;41.7;142.5;1952;7.1
44;-14.1;-69.9;1952;7.5
53;35;-119.017;1952;7.7
48;9.5;127.25;1952;7.8
45;42.15;143.85;1952;8.1
59;52.755;160.057;1952;9
70;24.2;103.2;1953;5
65;-12;-77.5;1953;5.5
62;27.761;54.751;1953;5.5
63;18.4;-73.4;1953;5.7
66;50;156.5;1953;5.8
78;-18.3;178.2;1953;6.4
77;35;32.5;1953;6.5
64;35.385;54.979;1953;6.6
75;38.1;20.6;1953;6.8
